trial,learning_rate,n_steps,ent_coef,net_arch,activation_fn,n_epochs,clip_range,batch_size,survival_rate,mean_return
473,0.0003,1024,0.005,"[256, 128]",ReLU,10,0.3,128,0.725,0.6661750000000001
55,0.0001,512,0.01,"[64, 64]",ReLU,5,0.2,128,0.725,0.6466500000000001
234,0.0001,2048,0.005,"[128, 128]",ReLU,5,0.1,128,0.725,0.6603249999999999
280,0.0001,2048,0.01,"[64, 64]",Tanh,5,0.2,128,0.725,0.66015
333,0.0003,512,0.005,"[64, 64]",Tanh,5,0.1,128,0.725,0.6859625
281,0.0001,2048,0.01,"[64, 64]",Tanh,5,0.3,128,0.725,0.66015
390,0.0003,512,0.01,"[64, 64]",Tanh,10,0.1,128,0.725,0.645275
386,0.0003,512,0.01,"[64, 64]",ReLU,20,0.3,128,0.725,0.6599250000000001
41,0.0001,512,0.005,"[256, 128]",ReLU,10,0.3,128,0.725,0.6933625000000001
376,0.0003,512,0.005,"[256, 128]",Tanh,20,0.2,128,0.725,0.66415
374,0.0003,512,0.005,"[256, 128]",Tanh,10,0.3,128,0.725,0.6671625
260,0.0001,2048,0.005,"[256, 128]",ReLU,20,0.3,128,0.725,0.6807124999999999
364,0.0003,512,0.005,"[256, 128]",ReLU,10,0.2,128,0.725,0.6667875000000001
246,0.0001,2048,0.005,"[128, 128]",Tanh,10,0.1,128,0.725,0.6667750000000001
357,0.0003,512,0.005,"[128, 128]",Tanh,20,0.1,128,0.725,0.6676000000000001
312,0.0001,2048,0.01,"[256, 128]",ReLU,20,0.1,128,0.725,0.6592125000000002
105,0.0001,512,0.01,"[256, 128]",Tanh,20,0.1,128,0.725,0.6675749999999999
253,0.0001,2048,0.005,"[256, 128]",ReLU,5,0.2,128,0.725,0.72155
54,0.0001,512,0.01,"[64, 64]",ReLU,5,0.1,128,0.725,0.6942375000000002
406,0.0003,512,0.01,"[128, 128]",Tanh,5,0.2,128,0.725,0.6983875
29,0.0001,512,0.005,"[128, 128]",Tanh,5,0.3,128,0.725,0.682025
618,0.0003,2048,0.01,"[128, 128]",ReLU,20,0.1,128,0.725,0.6595250000000001
187,0.0001,1024,0.01,"[128, 128]",ReLU,20,0.2,128,0.725,0.6790125
555,0.0003,2048,0.005,"[64, 64]",Tanh,20,0.1,128,0.725,0.6507
22,0.0001,512,0.005,"[128, 128]",ReLU,10,0.2,128,0.725,0.6978
11,0.0001,512,0.005,"[64, 64]",Tanh,5,0.3,128,0.725,0.6633000000000001
161,0.0001,1024,0.005,"[256, 128]",Tanh,20,0.3,128,0.725,0.674025
547,0.0003,2048,0.005,"[64, 64]",ReLU,20,0.2,128,0.725,0.6689125
538,0.0003,1024,0.01,"[256, 128]",Tanh,20,0.2,128,0.725,0.6567875000000001
10,0.0001,512,0.005,"[64, 64]",Tanh,5,0.2,128,0.725,0.6633000000000001
28,0.0001,512,0.005,"[128, 128]",Tanh,5,0.2,128,0.725,0.682025
9,0.0001,512,0.005,"[64, 64]",Tanh,5,0.1,128,0.725,0.6633000000000001
530,0.0003,1024,0.01,"[256, 128]",ReLU,20,0.3,128,0.725,0.6639875000000001
590,0.0003,2048,0.005,"[256, 128]",Tanh,10,0.3,128,0.725,0.6659125
520,0.0003,1024,0.01,"[128, 128]",Tanh,20,0.2,128,0.725,0.6463500000000001
527,0.0003,1024,0.01,"[256, 128]",ReLU,10,0.3,128,0.725,0.662425
626,0.0003,2048,0.01,"[128, 128]",Tanh,10,0.3,128,0.725,0.6800999999999999
524,0.0003,1024,0.01,"[256, 128]",ReLU,5,0.3,128,0.725,0.6928
7,0.0001,512,0.005,"[64, 64]",ReLU,20,0.2,128,0.725,0.691225
166,0.0001,1024,0.01,"[64, 64]",ReLU,10,0.2,128,0.725,0.71315
507,0.0003,1024,0.01,"[128, 128]",ReLU,10,0.1,128,0.725,0.666875
606,0.0003,2048,0.01,"[64, 64]",Tanh,10,0.1,128,0.72,0.65365
593,0.0003,2048,0.005,"[256, 128]",Tanh,20,0.3,128,0.72,0.65995
595,0.0003,2048,0.01,"[64, 64]",ReLU,5,0.2,128,0.72,0.6890000000000001
352,0.0003,512,0.005,"[128, 128]",Tanh,5,0.2,128,0.72,0.6814500000000001
603,0.0003,2048,0.01,"[64, 64]",Tanh,5,0.1,128,0.72,0.6738374999999999
344,0.0003,512,0.005,"[128, 128]",ReLU,5,0.3,128,0.72,0.6869124999999999
616,0.0003,2048,0.01,"[128, 128]",ReLU,10,0.2,128,0.72,0.6660875
608,0.0003,2048,0.01,"[64, 64]",Tanh,10,0.3,128,0.72,0.6746375
130,0.0001,1024,0.005,"[128, 128]",ReLU,10,0.2,128,0.72,0.6894
292,0.0001,2048,0.01,"[128, 128]",ReLU,10,0.2,128,0.72,0.6788000000000001
620,0.0003,2048,0.01,"[128, 128]",ReLU,20,0.3,128,0.72,0.646575
14,0.0001,512,0.005,"[64, 64]",Tanh,10,0.3,128,0.72,0.6751375000000002
619,0.0003,2048,0.01,"[128, 128]",ReLU,20,0.2,128,0.72,0.6522
489,0.0003,1024,0.01,"[64, 64]",ReLU,10,0.1,128,0.72,0.6645625
574,0.0003,2048,0.005,"[128, 128]",Tanh,20,0.2,128,0.72,0.6497499999999999
15,0.0001,512,0.005,"[64, 64]",Tanh,20,0.1,128,0.72,0.6571625
16,0.0001,512,0.005,"[64, 64]",Tanh,20,0.2,128,0.72,0.69305
508,0.0003,1024,0.01,"[128, 128]",ReLU,10,0.2,128,0.72,0.668575
522,0.0003,1024,0.01,"[256, 128]",ReLU,5,0.1,128,0.72,0.6740625
267,0.0001,2048,0.005,"[256, 128]",Tanh,20,0.1,128,0.72,0.6540375
465,0.0003,1024,0.005,"[128, 128]",Tanh,20,0.1,128,0.72,0.654975
448,0.0003,1024,0.005,"[64, 64]",Tanh,20,0.2,128,0.72,0.6554249999999999
528,0.0003,1024,0.01,"[256, 128]",ReLU,20,0.1,128,0.72,0.6465875
32,0.0001,512,0.005,"[128, 128]",Tanh,10,0.3,128,0.72,0.7037875000000001
436,0.0003,1024,0.005,"[64, 64]",ReLU,10,0.2,128,0.72,0.6749875
433,0.0003,1024,0.005,"[64, 64]",ReLU,5,0.2,128,0.72,0.7112
68,0.0001,512,0.01,"[64, 64]",Tanh,10,0.3,128,0.72,0.6789625000000001
426,0.0003,512,0.01,"[256, 128]",Tanh,10,0.1,128,0.72,0.65595
422,0.0003,512,0.01,"[256, 128]",ReLU,20,0.3,128,0.72,0.6475
412,0.0003,512,0.01,"[128, 128]",Tanh,20,0.2,128,0.72,0.6554875
405,0.0003,512,0.01,"[128, 128]",Tanh,5,0.1,128,0.72,0.6666124999999999
564,0.0003,2048,0.005,"[128, 128]",ReLU,20,0.1,128,0.72,0.6587375
569,0.0003,2048,0.005,"[128, 128]",Tanh,5,0.3,128,0.72,0.6710625
48,0.0001,512,0.005,"[256, 128]",Tanh,10,0.1,128,0.72,0.6764625
385,0.0003,512,0.01,"[64, 64]",ReLU,20,0.2,128,0.72,0.6619875000000001
381,0.0003,512,0.01,"[64, 64]",ReLU,10,0.1,128,0.72,0.660575
56,0.0001,512,0.01,"[64, 64]",ReLU,5,0.3,128,0.72,0.6935125
164,0.0001,1024,0.01,"[64, 64]",ReLU,5,0.3,128,0.72,0.65995
212,0.0001,1024,0.01,"[256, 128]",Tanh,10,0.3,128,0.72,0.6850750000000001
138,0.0001,1024,0.005,"[128, 128]",Tanh,10,0.1,128,0.72,0.6802750000000001
194,0.0001,1024,0.01,"[128, 128]",Tanh,10,0.3,128,0.72,0.6972999999999999
214,0.0001,1024,0.01,"[256, 128]",Tanh,20,0.2,128,0.72,0.6506875
255,0.0001,2048,0.005,"[256, 128]",ReLU,10,0.1,128,0.72,0.6960625
222,0.0001,2048,0.005,"[64, 64]",ReLU,20,0.1,128,0.72,0.6567500000000002
207,0.0001,1024,0.01,"[256, 128]",Tanh,5,0.1,128,0.72,0.660425
244,0.0001,2048,0.005,"[128, 128]",Tanh,5,0.2,128,0.715,0.6838374999999999
12,0.0001,512,0.005,"[64, 64]",Tanh,10,0.1,128,0.715,0.6757625
575,0.0003,2048,0.005,"[128, 128]",Tanh,20,0.3,128,0.715,0.6523875000000001
393,0.0003,512,0.01,"[64, 64]",Tanh,20,0.1,128,0.715,0.649575
458,0.0003,1024,0.005,"[128, 128]",ReLU,20,0.3,128,0.715,0.6381999999999999
600,0.0003,2048,0.01,"[64, 64]",ReLU,20,0.1,128,0.715,0.6518250000000001
543,0.0003,2048,0.005,"[64, 64]",ReLU,10,0.1,128,0.715,0.6743375
189,0.0001,1024,0.01,"[128, 128]",Tanh,5,0.1,128,0.715,0.6546125
39,0.0001,512,0.005,"[256, 128]",ReLU,10,0.1,128,0.715,0.68435
40,0.0001,512,0.005,"[256, 128]",ReLU,10,0.2,128,0.715,0.6895625
76,0.0001,512,0.01,"[128, 128]",ReLU,10,0.2,128,0.715,0.7002875000000001
